Code	Description
ACB	Catch Basin
ACOH	Cleanout House
ACOM	Cleanout Mainline
ACOP	Cleanout Propertyline
ACOS	Cleanout Saddle
ADP	Discharge Point
AEP	End of Pipe
AJB	Junction Box
AM	Meter
AMH	Manhole
AML	Mainline
AOC	Special Chamber
ATC	Tee Connection
AW	Wye
AWA	Wastewater Access Device
AWD	Double Wye
AWW	Wet Well
B	Broken
BSV	Broken Soil Visible
BVV	Broken Void Visible
CC	Crack Circumferential
CH2	Crack Longitudinal Hinge, 2
CH3	Crack Longitudinal Hinge, 3
CH4	Crack Longitudinal Hinge, 4
CL	Crack Longitudinal
CM	Crack Multiple
CS	Crack Spiral
D	Deformed
DAE	Deposits Attached Encrustation
DAGS	Deposits Attached Grease
DAR	Deposits Attached Ragging
DAZ	Deposits Attached Other
DI	Dropped Invert
DNF	Deposits Ingressed Fine
DNGV	Deposits Ingressed Gravel
DNZ	Deposits Ingressed Other
DSC	Deposits Settled Compacted
DSF	Deposits Settled Fine
DSGV	Deposits Settled Gravel
DSZ	Deposits Settled Other
FBEMD	Fitting Mitered Bend Down
FBEML	Fitting Mitered Bend Left
FBEMLD	Fitting Mitered Bend Left Down
FBEMLU	Fitting Mitered Bend Left Up
FBEMR	Fitting Mitered Bend Right
FBEMRD	Fitting Mitered Bend Right Down
FBEMRU	Fitting Mitered Bend Right Up
FBEMU	Fitting Mitered Up
FBESD	Fitting Sweep Bend Down
FBESL	Fitting Sweep Bend Left
FBESLD	Fitting Sweep Bend Left Down
FBESLU	Fitting Sweep Bend Left Up
FBESR	Fitting Sweep Bend Right
FBESRD	Fitting Sweep Bend Right Down
FBESRU	Fitting Sweep Bend Right Up
FBESU	Fitting Sweep Bend Up
FC	Fracture Circumferential
FCA	Fitting Cap
FCAF	Fitting Cap Fitting
FCAS	Fitting Cap Seal
FH2	Fracture Longitudinal Hinge, 2
FH3	Fracture Longitudinal Hinge, 3
FH4	Fracture Longitudinal Hinge, 4
FL	Fracture Longitudinal
FM	Fracture Multiple
FRV	Fitting Vertical Riser
