RR_Asset_ID	RR_Material	code	percentage	Defects	PACP	RR_InspectNotes	RR_Length	RR_Diameter
52	DIP	MWL	5.00000000	1	4	LoF 4 RB? >0 defects	537.670163125908	16
167	VCP	MWL	10.00000000	1	1	NULL	342.060707272705	12
167	VCP	TF	0.00000000	3	1	NULL	342.060707272705	12
335	RCP	MSA	0.00000000	1	1	NULL	291.539568105399	12
500	BR	AMH	0.00000000	2	1	NULL	244.421570014404	60
500	BR	TBA	0.00000000	1	1	NULL	244.421570014404	60
545	VCP	TF	0.00000000	9	1	NULL	223.11100826742	12
556	VCP	TFA	0.00000000	4	1	NULL	195.216223824198	10
620	VCP	TF	0.00000000	2	5	LoF 5 B,BSV,BVV,XB,XP >0, LoF 5 B,BSV,BVV,X,XB,XP >0	174.961646352051	10
625	VCP	AMH	0.00000000	2	1	NULL	273.771122284573	15
625	VCP	MWL	5.00000000	1	1	NULL	273.771122284573	15
685	VCP	MWL	25.00000000	1	2	LoF 2 RF? >0 defects	297.90543195105	10
685	VCP	TFA	0.00000000	7	2	LoF 2 RF? >0 defects	297.90543195105	10
690	VCP	MCU	0.00000000	1	2	LoF 2 RF? >0 defects	269.345551179874	12
690	VCP	TFA	0.00000000	7	2	LoF 2 RF? >0 defects	269.345551179874	12
691	VCP	SAV	0.00000000	4	1	NULL	125.84636621061	12
735	CT	AMH	0.00000000	2	1	NULL	203.81018044264	10
787	VCP	AMH	0.00000000	2	1	NULL	183.796535308017	12
787	VCP	MWL	5.00000000	2	1	NULL	183.796535308017	12
865	VCP	SAV	0.00000000	1	1	NULL	298.53204449259	10
1110	VCP	RBL	75.00000000	1	4	LoF 4 RB? >0 defects	236.21546067614	10
1120	VCP	TBA	0.00000000	8	1	NULL	190.940126805602	18
1288	VCP	AMH	0.00000000	2	5	LoF 5 B,BSV,BVV,XB,XP >0, LoF 5 B,BSV,BVV,X,XB,XP >0	253.013332246724	10
1288	VCP	RFJ	0.00000000	1	5	LoF 5 B,BSV,BVV,XB,XP >0, LoF 5 B,BSV,BVV,X,XB,XP >0	253.013332246724	10
1332	CT	TB	0.00000000	1	1	NULL	406.733373344356	12
1332	CT	TFA	0.00000000	2	1	NULL	406.733373344356	12
1333	BR	RMJ	10.00000000	4	3	LoF 3 RM? >0 defects	151.315918739008	60
1333	BR	RMJ	15.00000000	4	3	LoF 3 RM? >0 defects	151.315918739008	60
1343	VCP	TFC	0.00000000	2	2	LoF 2 RF? >0 defects	113.451370806093	12
1425	VCP	TF	0.00000000	18	2	LoF 2 RF? >0 defects	401.924339189547	12
1430	VCP	CC	0.00000000	1	5	LoF 5 B,BSV,BVV,XB,XP >0, LoF 5 B,BSV,BVV,X,XB,XP >0	404.154793380017	12
1430	VCP	RML	30.00000000	1	5	LoF 5 B,BSV,BVV,XB,XP >0, LoF 5 B,BSV,BVV,X,XB,XP >0	404.154793380017	12
1430	VCP	RML	40.00000000	1	5	LoF 5 B,BSV,BVV,XB,XP >0, LoF 5 B,BSV,BVV,X,XB,XP >0	404.154793380017	12
1431	VCP	AMH	0.00000000	2	1	NULL	238.781218122722	15
1473	VCP	AMH	0.00000000	2	1	NULL	298.496456057161	10
